ds,max_temp_c,rainfall_mm,is_holiday,O_positive,A_positive,B_positive,AB_positive,A_negative,B_negative,O_negative,AB_negative
2019-10-19,31.811595149168568,1.9278320241463769,0,52,45,34,13,5,3,8,2
2019-10-20,31.603945042275168,1.2831593624867885,0,60,41,38,14,5,4,8,2
2019-10-21,31.656076729966607,0.04686591073477642,0,71,51,45,17,6,5,9,2
2019-10-22,31.14312136260187,0.8603518168886264,0,67,52,48,17,5,5,9,2
2019-10-23,30.542928064336714,1.7500173994879404,0,67,52,48,16,6,4,9,2
2019-10-24,30.3985085569316,0.6029123728213359,0,67,49,46,17,6,5,9,2
2019-10-25,30.741111522118633,0.18911268954877647,0,83,65,58,22,7,6,11,3
2019-10-26,30.058708002524167,1.5167695431798356,0,54,43,37,14,5,4,8,2
2019-10-27,29.717376547368143,1.2120276638721625,1,35,24,19,9,3,3,5,1
2019-10-28,30.364614629963224,1.1406250156530078,0,73,54,42,16,6,4,9,2
2019-10-29,29.83109275146603,0.10715311921481585,0,71,54,45,16,6,5,9,2
2019-10-30,31.41792301969581,0.28099801959103465,0,71,49,46,17,6,5,10,3
2019-10-31,27.090845789335663,1.2450987924262276,0,69,51,46,16,6,4,9,2
2019-11-01,30.661284521877157,0.4156476829176716,0,52,43,35,13,5,4,8,2
2019-11-02,30.6439524188397,1.0081401594968487,0,56,41,39,14,5,4,7,2
2019-11-03,27.15274497525722,1.089763372058787,0,59,43,40,14,5,4,7,2
2019-11-04,28.711944907747657,0.5670143805418788,0,64,51,47,18,5,5,9,2
2019-11-05,28.511969062787266,1.8968503110829857,0,70,48,47,17,6,4,9,2
2019-11-06,27.30500653075637,1.6849282136711503,0,75,52,44,17,5,5,10,2
2019-11-07,27.76419134321038,1.444747015265597,0,71,48,47,17,5,4,9,2
2019-11-08,27.261354025149007,0.15598773281881817,0,90,66,57,22,7,6,12,3
2019-11-09,29.954604586168,0.21226003861803888,0,56,40,38,14,5,4,7,2
2019-11-10,28.9689494952117,0.9855626917299114,1,69,49,45,15,6,5,8,2
2019-11-11,29.1363459405962,0.32142669838197135,0,66,54,45,17,6,4,9,2
2019-11-12,28.418615361737118,1.9565309270589482,1,50,37,30,11,4,3,6,2
2019-11-13,26.400726423973417,0.3170404680548189,0,70,48,45,16,6,4,9,2
2019-11-14,26.838824806440154,0.974935670927948,0,69,49,47,17,5,4,9,2
2019-11-15,27.687067809235756,0.7282421136830108,0,60,41,36,14,5,3,8,2
2019-11-16,25.810743998373155,1.278772842908196,0,54,43,39,14,4,4,7,2
2019-11-17,27.58192802081412,0.25807281777884983,0,55,43,39,14,5,3,7,2
2019-11-18,26.465589779596563,0.8606328560847818,0,68,49,45,17,6,4,10,2
2019-11-19,26.16905606574307,0.5494100656142873,0,65,48,48,17,6,5,9,2
2019-11-20,27.093822660905815,1.775503049343376,0,68,51,44,17,6,5,10,2
2019-11-21,26.667183659446394,0.08117142426939017,0,63,50,48,18,6,5,9,2
2019-11-22,25.703131067616255,1.8274549880129185,0,59,47,38,14,5,4,7,2
2019-11-23,27.065770215208037,1.6659882771060008,0,56,42,37,14,5,4,8,2
2019-11-24,24.668933272704564,0.5951414328816309,0,54,46,35,14,5,4,7,2
2019-11-25,26.21074776343931,1.5785813093542094,0,65,48,45,17,5,5,9,2
2019-11-26,26.034034322883794,0.06242712067749512,0,67,47,45,16,6,5,10,2
2019-11-27,24.97885848394737,1.9337311005867872,0,70,48,43,16,6,4,8,2
2019-11-28,25.463405951155217,1.0531898851795787,0,69,54,45,18,6,5,9,2
2019-11-29,23.736468289156942,0.6065620521308905,0,54,46,36,13,5,4,7,2
2019-11-30,25.763403109048372,0.7251664251893541,0,53,40,38,14,4,4,8,2
2019-12-01,24.507797381937678,0.13281070692099473,0,58,41,40,15,5,4,8,2
2019-12-02,24.024872594074456,1.9786990280840784,0,66,48,43,17,6,4,9,2
2019-12-03,25.45311660173513,0.0785838903013849,0,68,47,49,18,6,4,10,2
2019-12-04,23.557933630413995,1.309814246295718,0,68,52,45,17,6,5,9,2
2019-12-05,22.713686180711708,0.8854718554129166,0,69,51,43,16,7,4,9,2
2019-12-06,22.42713019422687,1.8978324363774302,0,58,42,39,13,5,4,8,2
2019-12-07,24.453163951712362,0.49199948061359033,0,52,39,36,15,5,4,8,2
2019-12-08,22.43194250154537,1.0641736478760226,0,50,46,37,13,5,4,7,2
2019-12-09,25.33424704961873,0.9647124171655059,0,66,50,44,18,5,5,9,2
2019-12-10,21.36650702002543,1.4057328881002027,0,73,52,44,16,6,5,9,2
2019-12-11,25.015817726154708,0.13602046390484102,0,74,48,47,18,6,5,9,2
2019-12-12,23.40328337243246,0.3875782600467097,0,73,50,45,19,5,4,9,2
2019-12-13,22.970474619259836,0.42912964018569966,0,55,43,34,13,4,4,7,2
2019-12-14,22.399244812119274,1.4763015096833794,0,50,43,38,13,5,4,7,2
2019-12-15,23.222366977592454,0.37827739265348015,0,49,42,35,15,5,4,8,2
2019-12-16,22.666789756710276,1.1469835277819533,0,66,52,43,17,5,5,9,2
2019-12-17,23.691081773530563,0.4304876410019074,0,67,48,48,18,5,5,8,2
2019-12-18,22.587559373341957,1.7232499001679569,0,72,51,43,17,6,5,8,2
2019-12-19,22.51141563355645,1.884370908979277,0,70,51,41,18,6,5,9,2
2019-12-20,21.887547374115737,1.036985949884481,0,56,42,38,14,4,4,7,2
2019-12-21,22.08655582549179,0.7046177684183565,0,53,42,37,13,4,4,8,2
2019-12-22,22.345973131065907,0.4681155500349983,0,53,39,37,14,5,4,7,2
2019-12-23,20.225032144133927,0.09956200304608753,0,99,70,65,24,8,7,13,3
2019-12-24,20.486434063435127,0.5370001523949908,0,70,46,46,18,6,5,9,2
2019-12-25,22.479722106783623,1.3084715598906358,1,49,38,30,11,4,3,7,1
2019-12-26,21.811610643941577,1.0672338626184217,0,65,53,48,17,5,5,10,2
2019-12-27,21.36352609011669,1.8880825565618549,0,58,44,34,14,5,4,7,2
2019-12-28,21.475212235567124,0.7925545249834012,0,57,43,38,13,5,4,7,2
2019-12-29,21.716160424862554,1.387726684656789,0,53,37,38,13,5,4,9,2
2019-12-30,20.74317713259742,0.9786454949502428,0,65,49,44,17,6,5,9,2
2019-12-31,20.421573234862333,1.0251524318484233,0,70,51,43,18,6,4,9,2
2020-01-01,21.31527202880275,0.535548629208235,0,69,53,48,17,6,4,9,2
2020-01-02,20.063234315035878,0.9099015536839994,0,74,52,44,16,6,5,9,2
2020-01-03,21.374694732467624,0.9415699940254145,0,59,44,37,15,5,4,7,2
2020-01-04,19.191370094819998,1.4132850434978679,0,56,43,40,13,5,4,8,2
2020-01-05,21.853319376731708,1.8812799983722277,0,58,43,38,15,5,4,7,2
2020-01-06,21.22969026048211,0.6586425549650086,0,70,51,43,17,6,5,10,2
2020-01-07,20.948790423934085,0.08440093716259689,0,67,54,50,17,6,5,9,2
2020-01-08,21.6138775209912,0.9925902510012794,0,67,51,45,18,5,5,9,2
2020-01-09,22.23786301055837,1.0889226642983372,0,72,49,46,17,6,5,8,2
2020-01-10,21.530754264896416,0.3368811022638305,0,60,41,39,14,5,4,7,2
2020-01-11,18.622315802363897,1.5209292125521334,0,59,42,40,15,5,4,7,2
2020-01-12,19.133244863391337,1.9698582168829832,0,62,45,42,13,5,4,7,2
2020-01-13,19.740475936662833,1.8915494340169219,0,68,52,43,19,6,5,10,2
2020-01-14,20.346713219970194,0.39421207764730437,0,75,52,48,17,6,5,9,2
2020-01-15,20.796477054178506,1.7507264798015214,0,67,49,48,16,6,5,10,2
2020-01-16,19.514150680522853,1.4089872728233694,0,67,54,46,17,6,5,9,2
2020-01-17,20.39062984802218,0.9076931276138231,0,52,42,40,15,5,4,8,2
2020-01-18,19.415351547846853,1.081221988649458,0,56,43,40,15,4,4,7,2
2020-01-19,19.529000697369746,1.6992003499649162,0,56,47,36,15,4,4,7,2
2020-01-20,18.70656300082837,0.9602698792767463,0,71,53,50,17,6,5,9,2
2020-01-21,19.16562611395455,0.7464147382102537,0,70,49,43,18,6,4,9,2
2020-01-22,18.715746901709522,0.9864949860519716,0,66,48,44,18,6,5,9,2
2020-01-23,19.07307363601569,1.1582596080700982,0,68,52,46,18,6,5,10,2
2020-01-24,21.087052779066138,0.3781553075566977,0,86,63,62,23,7,6,12,3
2020-01-25,19.071429502514135,1.8018154605339813,0,52,45,38,14,5,3,8,2
2020-01-26,22.643584908987055,1.3483738976592277,1,35,28,25,9,3,2,5,1
2020-01-27,20.497855094007317,1.2665378346749778,0,67,53,49,17,6,5,10,2
2020-01-28,20.185669537147497,0.19899245236127627,0,74,51,46,17,6,5,9,2
2020-01-29,19.141734822456886,1.2083478763451836,0,70,56,44,18,6,5,9,3
2020-01-30,20.702624859610083,0.24192132447698467,0,72,59,46,16,6,5,10,2
2020-01-31,19.431862061365393,0.1573953503907981,0,53,43,41,15,5,4,8,2
2020-02-01,20.137655603089723,1.0546217912847866,0,61,44,39,14,5,4,8,2
2020-02-02,22.586834807187238,0.80557106809299,0,62,43,42,14,5,4,8,2
2020-02-03,19.94475013880356,1.1776205403124465,0,64,52,48,18,5,5,9,2
2020-02-04,21.207094257346156,0.1784443361144772,0,67,50,45,18,6,5,10,2
2020-02-05,19.374601480694793,0.8619661256945168,0,71,50,47,18,6,5,9,2
2020-02-06,20.06568655862951,0.34957343009031594,0,72,50,45,17,5,5,10,2
2020-02-07,21.897306211695646,1.9742001718482332,0,56,44,37,14,5,4,8,2
2020-02-08,19.52829477469131,1.1223004248703488,0,57,42,47,15,5,4,8,2
2020-02-09,21.999383855280836,1.3748737218817346,0,56,37,40,14,5,4,8,2
2020-02-10,20.929268520398907,0.6508365613652156,0,70,53,48,17,6,4,9,2
2020-02-11,19.69652867238153,0.1894778295586883,0,73,52,45,18,6,5,10,2
2020-02-12,20.931768520540448,1.9517417255670733,0,67,55,50,17,5,4,9,2
2020-02-13,21.315155073078184,0.5725180707663664,0,73,53,49,18,6,4,9,2
2020-02-14,21.010512123494188,0.8476163703471484,0,55,40,42,14,5,4,7,2
2020-02-15,18.867427014190486,1.29972784340515,0,55,38,42,14,5,4,8,2
2020-02-16,19.762297661223595,0.04939459537222257,0,60,42,35,14,4,4,7,2
2020-02-17,20.29651749017707,1.6205182610345739,0,72,51,44,17,6,4,9,2
2020-02-18,20.527005991480998,1.0731563800572406,0,72,54,44,17,5,5,9,2
2020-02-19,21.282299809321426,0.5564343741376443,0,96,75,65,25,9,7,14,3
2020-02-20,20.90228416514129,0.1232159705849385,0,68,55,47,17,6,5,10,3
2020-02-21,19.45494276412355,0.3249968309488829,1,40,25,24,10,3,3,5,1
2020-02-22,21.238917969152627,1.7900677177068738,0,58,45,43,14,5,4,9,2
2020-02-23,21.540447617257467,1.372048447871782,0,54,45,42,14,5,4,7,2
2020-02-24,21.563481751408606,0.4998034432737797,0,71,48,46,17,6,5,9,2
2020-02-25,22.160967260959136,0.13120152989005907,0,67,55,50,17,6,5,9,2
2020-02-26,21.99324705511527,1.3812306247732726,0,75,52,49,18,6,5,9,2
2020-02-27,21.700263027786004,1.1448154519355302,0,74,53,45,17,6,5,9,2
2020-02-28,21.255270741245386,0.80903904891647,0,59,41,34,14,5,4,7,2
2020-02-29,19.75139948372598,0.7272228983801277,0,62,46,38,15,5,4,8,2
2020-03-01,21.931447303857308,0.4336285518582166,0,58,41,37,15,5,4,7,2
2020-03-02,21.801503630818328,1.3392225130750353,0,72,54,47,19,5,5,9,2
2020-03-03,21.959872573537297,1.941336055587741,0,74,54,47,18,6,4,9,2
2020-03-04,20.508485891155548,0.3514304916736517,0,70,50,47,17,6,5,9,2
2020-03-05,20.80355286951813,1.1942332400310067,0,69,57,47,18,6,5,10,2
2020-03-06,23.03954197158614,0.8483701114919524,0,52,44,36,16,5,4,7,2
2020-03-07,22.050988278575574,0.8933774434893298,0,57,45,39,16,5,4,7,2
2020-03-08,22.87854218666487,0.5082945602556288,0,60,40,38,15,5,4,8,2
2020-03-09,22.334170107291083,1.6502697513228382,0,72,57,47,18,6,5,10,2
2020-03-10,22.446698054710122,0.9705112082944822,0,71,49,48,17,6,4,10,2
2020-03-11,23.468562929010446,1.0868117043965282,0,68,55,44,17,5,4,9,2
2020-03-12,22.12978504214277,0.6095218255946515,0,64,50,46,17,6,5,9,2
2020-03-13,22.859680393981858,0.3636169313338995,0,56,42,38,13,5,4,8,2
2020-03-14,22.42115848847721,0.17182077640564097,0,57,45,37,15,5,4,8,2
2020-03-15,22.570920502051212,1.4282382818498318,0,57,46,40,14,5,4,8,2
2020-03-16,22.820300204294693,0.39246856337571123,0,71,49,45,18,6,5,9,2
2020-03-17,23.477697583304256,1.3801507083775955,0,76,55,45,16,6,4,10,2
2020-03-18,22.90490519591374,0.7807528920939077,0,70,55,45,18,6,4,9,2
2020-03-19,24.769460515223706,0.8315496019793029,0,69,50,49,17,6,4,10,2
2020-03-20,22.751069688878722,0.9383549921855434,0,57,47,37,13,5,4,7,2
2020-03-21,23.592660871429963,0.7354170162550864,0,58,40,39,16,5,4,8,2
2020-03-22,23.47550024057456,0.20123995444518017,0,55,42,42,15,5,4,7,2
2020-03-23,25.499711014746097,0.6192636200056916,0,70,53,46,18,5,5,10,2
2020-03-24,24.38855204197357,1.3274687213878769,0,71,50,49,17,6,5,10,2
2020-03-25,25.36482697655746,1.331568802937742,0,70,53,50,18,6,4,9,2
2020-03-26,22.990086495286832,0.5724486144799887,0,71,53,48,18,6,5,9,2
2020-03-27,24.88699855048626,0.9202052531153759,0,59,43,38,14,5,4,8,2
2020-03-28,25.655474721967934,0.38689445602387496,0,52,45,40,14,5,4,7,2
2020-03-29,24.99557455075438,0.42074416305967155,0,60,43,36,16,5,4,8,2
2020-03-30,26.12772487346558,0.046094176813214816,0,68,53,45,19,6,5,9,2
2020-03-31,24.69537314874174,1.7934930998154892,0,66,55,45,19,6,5,10,2
2020-04-01,26.773844731157073,0.4214133301498124,0,66,54,51,18,6,5,10,2
2020-04-02,27.81660470621514,0.45506775387292664,0,71,54,45,17,5,5,10,2
2020-04-03,25.309405514056028,0.5592028652902636,0,57,41,37,14,5,4,7,2
2020-04-04,25.382561452476057,0.254816143390858,0,83,67,56,21,7,6,12,3
2020-04-05,27.43850458505797,1.2785257663627256,0,59,41,40,14,5,4,8,2
2020-04-06,27.72293808329464,0.15028590635517314,1,45,34,33,14,4,3,7,2
2020-04-07,25.779894543940003,0.26840485265270053,0,70,52,49,19,6,4,9,2
2020-04-08,26.043051961140428,1.2895134531801857,0,100,73,68,25,8,7,13,3
2020-04-09,26.34298639519836,0.6793212409628855,0,72,54,44,17,6,4,9,2
2020-04-10,25.442852872042078,1.415895653402378,1,43,30,23,10,3,3,4,1
2020-04-11,26.03213580695291,1.114849489340284,0,54,39,41,14,5,4,7,2
2020-04-12,26.11103490444184,0.5120423461230261,0,57,41,38,13,5,4,8,2
2020-04-13,26.512620859554815,1.3016559009786561,0,69,49,49,18,6,5,10,2
2020-04-14,27.41178216145135,0.2325473605857613,0,71,51,46,17,6,5,9,2
2020-04-15,27.847487072477023,1.0728207661600608,0,70,53,44,17,5,5,9,2
2020-04-16,29.331285362772423,0.8742962100900693,0,69,52,46,17,6,4,9,2
2020-04-17,26.950600960575017,0.5357471656348816,0,56,42,36,14,5,4,8,2
2020-04-18,29.10205530004414,1.2080099954790002,0,54,46,37,14,5,4,8,2
2020-04-19,28.073079713959718,1.742667184680565,0,61,38,39,14,5,4,8,2
2020-04-20,28.407448083704757,1.9978093995261534,0,71,55,47,16,6,5,9,2
2020-04-21,29.302031771033953,1.215525537486849,0,72,51,43,19,6,5,10,2
2020-04-22,27.675197529444173,0.8094117486583403,0,69,52,46,17,6,5,9,2
2020-04-23,29.351392771709705,0.4504142004324032,0,68,51,45,17,6,5,9,2
2020-04-24,29.30680422083859,0.5141921787902235,0,54,47,37,14,5,4,8,2
2020-04-25,29.80442699598495,0.9589099562995314,0,59,40,39,14,4,4,8,2
2020-04-26,29.77297197167528,0.7345554025614185,0,54,43,37,15,4,4,7,2
2020-04-27,32.11108402368344,1.8276290452498885,0,75,53,49,18,6,5,9,2
2020-04-28,29.190126454190338,0.7365909353114191,0,66,49,49,18,6,5,10,2
2020-04-29,29.469003044998182,0.746889182290871,0,70,50,49,18,6,5,9,2
2020-04-30,29.548993035133584,0.7670690248679539,0,74,52,45,18,6,4,10,2
2020-05-01,29.788738997067203,1.6732404207353162,0,59,41,36,15,5,4,7,2
2020-05-02,29.87880954492602,1.3015766416938037,0,58,41,39,13,5,4,8,2
2020-05-03,31.87704079913075,1.2283377006377854,0,55,42,38,14,5,4,7,2
2020-05-04,32.28015223536432,0.6682860447677244,0,65,54,45,18,6,4,8,2
2020-05-05,30.46027068072487,1.6358083536648789,0,102,74,64,28,8,7,14,3
2020-05-06,30.369724875889297,0.07672772271140227,0,74,55,46,16,6,4,10,2
2020-05-07,31.844203277519053,1.7415943446762263,1,48,35,32,13,5,3,7,2
2020-05-08,30.99086516236184,1.0254997995878592,0,54,40,40,14,5,4,7,2
2020-05-09,32.34586325957029,0.7965004697268256,0,50,48,40,16,5,4,8,2
2020-05-10,32.085190119283745,0.9943345614353714,0,55,42,41,13,5,4,8,2
2020-05-11,30.53530088368896,1.3348310610676621,0,69,49,44,18,6,4,9,2
2020-05-12,33.766720331371715,0.02553085303579472,0,74,48,47,16,6,5,10,2
2020-05-13,34.182605333155024,1.7431037129164955,0,72,55,45,17,6,4,9,2
2020-05-14,31.940744260677484,0.8934790506227857,0,71,51,44,17,6,5,9,2
2020-05-15,32.33188001540507,0.6859330394001564,0,56,43,38,15,5,4,8,2
2020-05-16,33.170689719531,0.2764911312681142,0,56,43,41,14,5,4,7,2
2020-05-17,33.38366903654991,0.8789307487168843,0,62,45,38,15,5,4,8,2
2020-05-18,33.87124088959647,0.9926455425687577,0,70,52,50,17,5,4,9,2
2020-05-19,35.38543353470749,0.8072933889869556,0,63,57,47,18,6,5,9,2
2020-05-20,33.35981399426967,1.3573201876537941,0,68,53,46,18,6,5,9,3
2020-05-21,32.89894818436828,0.841793057518452,0,67,55,49,16,6,5,10,2
2020-05-22,32.47731483442154,1.9228351556931467,0,56,45,39,15,5,4,8,2
2020-05-23,33.283949852117814,1.1985550356471837,0,89,66,57,21,8,6,12,3
2020-05-24,34.138809053249375,1.614955871303818,0,57,42,42,15,5,4,8,2
2020-05-25,36.1223137890221,0.2187118062189577,1,49,38,34,13,4,3,7,2
2020-05-26,33.96468211836794,0.7945825858918114,0,74,53,46,17,6,4,10,2
2020-05-27,34.859290660667405,0.6736954028943054,0,68,51,45,17,6,4,9,2
2020-05-28,34.77091550508513,1.1389647762731836,0,75,53,49,18,5,5,8,2
2020-05-29,36.12614877504786,1.7222270401228512,0,56,46,39,15,5,3,8,2
2020-05-30,37.613641864394666,0.15667643552401334,0,58,48,40,14,5,4,8,2
2020-05-31,34.703287300735184,0.14514959608942157,0,57,45,37,14,5,4,8,2
2020-06-01,34.89061227286477,15.26706582525707,0,70,56,48,18,6,4,10,2
2020-06-02,36.56851400874527,10.242256935755021,0,71,51,48,16,6,5,9,2
2020-06-03,36.348909052537486,29.414025583072608,0,71,54,45,16,6,5,9,2
2020-06-04,37.65471006027404,21.14006442646029,0,67,55,44,17,6,5,9,2
2020-06-05,36.5311950549336,28.363597017887887,0,79,60,56,20,7,5,11,3
2020-06-06,35.725476610364204,12.584638590728328,0,65,42,35,13,5,4,7,2
2020-06-07,36.81112231510098,24.547272824922242,0,56,47,39,13,5,4,7,2
2020-06-08,37.46302658948468,24.14646609711855,0,72,50,46,17,6,5,9,3
2020-06-09,37.30677779154718,22.291391296663537,0,65,49,49,18,6,5,9,2
2020-06-10,37.12362021353008,29.14097438167001,0,69,56,46,16,5,5,9,2
2020-06-11,37.81111087791861,14.838883402657888,0,69,55,49,17,6,5,8,2
2020-06-12,38.03982326268234,8.267933089743932,0,59,44,37,16,5,4,8,2
2020-06-13,38.376742261554,21.79272148110152,0,74,62,57,21,7,5,11,3
2020-06-14,37.765276110407385,23.232745011930156,0,58,42,43,15,5,4,7,2
2020-06-15,37.06932230264227,19.376514336470365,0,66,53,44,17,6,5,9,2
2020-06-16,37.50088391607318,10.170447328334907,0,71,56,47,19,6,5,9,2
2020-06-17,38.67622984347391,17.611398541733884,0,90,70,68,23,8,6,12,3
2020-06-18,36.76612241379839,12.804743414228234,0,84,70,58,21,7,6,12,3
2020-06-19,38.06282157771228,15.686663204167226,0,104,77,70,27,9,7,13,3
2020-06-20,37.409619698380396,21.130464396116597,0,79,62,57,21,7,6,11,3
2020-06-21,37.93820139050259,23.630368567270864,0,76,57,52,19,7,5,10,3
2020-06-22,39.29206274435406,10.805617272533578,0,85,64,56,22,8,6,12,3
2020-06-23,38.30648965809351,15.133134016173834,0,82,65,61,22,7,6,12,3
2020-06-24,38.26120208118029,11.729039274790729,0,96,71,58,24,8,6,12,3
2020-06-25,36.95185012267816,9.965790346546727,0,66,53,46,18,6,5,10,3
2020-06-26,39.152437622372005,24.58468049989596,0,82,67,57,20,7,5,11,3
2020-06-27,39.14365509641636,27.73131736092481,0,102,76,66,24,9,7,12,3
2020-06-28,40.750894306063486,14.255804642114418,0,74,60,49,19,6,5,10,3
2020-06-29,38.36678531234297,23.78197310934417,0,67,52,48,16,6,5,9,2
2020-06-30,38.97806737910637,27.424882234110278,0,70,56,45,16,6,4,9,2
2020-07-01,39.09005878314439,26.15310526325579,0,73,58,44,18,6,5,10,2
2020-07-02,40.49726674435896,9.570334713480648,0,66,53,47,18,6,4,9,2
2020-07-03,38.901013164135485,28.907297037834034,0,82,60,55,21,7,6,11,3
2020-07-04,39.3491596537967,14.416911010736563,0,69,55,47,17,6,5,10,2
2020-07-05,39.749176391569875,13.481016529345908,0,75,58,52,19,6,5,10,3
2020-07-06,39.396322000322705,6.560783181944508,0,70,53,47,17,6,5,10,2
2020-07-07,38.82898322124144,17.154341352622076,0,67,54,46,18,6,5,10,2
2020-07-08,39.53246228112756,7.7253403910232175,0,68,53,46,17,6,5,10,2
2020-07-09,40.47219232927873,11.21349552318565,0,65,52,47,18,6,4,10,2
2020-07-10,38.429448574860366,12.923565544182035,0,77,57,54,19,7,5,10,3
2020-07-11,39.643534837098414,25.2206580872921,0,108,79,69,25,9,7,14,3
2020-07-12,38.86222745097988,26.887216259897414,0,54,47,40,14,5,4,8,2
2020-07-13,40.80634446764785,12.561657936536742,0,87,69,60,22,7,6,12,3
2020-07-14,38.13421247176477,26.467453031114346,0,93,70,63,23,7,6,12,3
2020-07-15,39.14171737124348,26.430773434244777,0,94,70,60,22,8,6,12,3
2020-07-16,40.11821642678872,24.116273759621837,0,65,51,45,16,6,4,8,2
2020-07-17,41.34400744429091,8.667377850379538,0,80,59,53,20,7,5,11,3
2020-07-18,39.747314441643105,22.258071172518225,0,83,60,56,20,7,6,11,3
2020-07-19,39.28953864082772,28.62560161451422,0,57,43,42,13,5,4,7,2
2020-07-20,41.75465149338045,22.063511969178926,0,62,51,45,17,6,5,9,2
2020-07-21,38.45131105045729,13.290421227695848,0,71,55,48,17,6,5,9,2
2020-07-22,37.723416137559234,17.514482935770783,0,74,51,46,17,6,5,10,2
2020-07-23,40.38219351899286,21.14312608377634,0,70,50,47,17,6,5,10,2
2020-07-24,39.45713573711918,17.76426021821259,0,80,66,58,21,7,5,11,3
2020-07-25,38.952016913950835,7.998823543274245,0,76,57,53,19,6,5,10,3
2020-07-26,40.69271065885499,12.801601116300516,0,84,60,50,20,7,5,10,3
2020-07-27,40.23630082616803,25.059900763840812,0,72,53,45,17,6,5,9,2
2020-07-28,39.43360638906218,26.535451152387935,0,93,66,63,23,7,6,12,3
2020-07-29,38.71960299869101,8.432500817889256,0,92,71,61,23,8,6,12,3
2020-07-30,40.871623914827516,28.809668809968116,0,117,91,77,30,10,8,16,4
2020-07-31,40.64566398483224,13.220565446215232,0,57,47,37,15,5,4,7,2
2020-08-01,39.889621292070956,21.557843468268,1,80,59,55,21,7,5,10,3
2020-08-02,41.825808604701585,23.795628648917027,0,82,61,56,20,7,5,11,3
2020-08-03,38.896504251215546,25.298655865947087,0,92,66,58,21,7,6,11,3
2020-08-04,38.42552794008224,28.643742555648252,0,73,53,51,17,6,5,9,2
2020-08-05,39.2406604227929,12.822988700720565,0,65,49,48,17,6,5,10,3
2020-08-06,39.865554623579044,26.46266136378886,0,87,65,57,22,8,6,12,3
2020-08-07,40.1301153516461,8.292172585905176,0,60,40,37,15,5,4,8,2
2020-08-08,39.61824544178198,22.62602265883982,0,84,63,53,20,7,6,11,3
2020-08-09,40.181320916314114,23.549443237849648,0,56,38,39,14,4,4,8,2
2020-08-10,38.54459749226445,21.94308103003301,0,128,86,79,29,10,8,17,4
2020-08-11,41.20387011039694,11.307868403378825,0,87,70,64,23,8,6,12,3
2020-08-12,39.639030787898044,26.826078675380085,1,46,36,36,12,4,3,7,2
2020-08-13,40.79667366182877,9.221461584259874,0,123,90,83,30,10,8,16,4
2020-08-14,39.977430832019195,6.340869788020771,0,64,46,36,14,5,4,8,2
2020-08-15,40.043931389026746,22.936624765297804,1,77,61,52,20,6,5,10,3
2020-08-16,40.106577246536666,16.886892880818344,0,76,59,54,19,7,5,11,3
2020-08-17,39.93132436013903,26.227450498966903,0,93,67,59,22,8,6,13,3
2020-08-18,40.07033419377175,14.584928526456475,0,92,75,64,23,8,6,12,3
2020-08-19,40.69796599308675,9.20696471269282,0,69,51,47,17,6,5,9,2
2020-08-20,39.50376048008126,25.911054811746745,0,92,72,61,24,7,6,12,3
2020-08-21,39.95191097951945,18.72274079100179,0,83,62,54,20,7,5,11,3
2020-08-22,39.08610056630671,9.729894809758871,0,79,53,50,19,7,5,10,3
2020-08-23,40.54616351639164,23.009599964661145,0,80,58,51,18,7,5,10,3
2020-08-24,38.35716572118758,17.777840962237512,0,88,66,60,22,7,5,11,3
2020-08-25,40.75933334025991,20.107824556007998,0,70,50,45,16,6,4,9,2
2020-08-26,38.840415275650585,16.522458455164546,0,92,66,60,23,8,6,12,3
2020-08-27,37.36934693761731,25.71772459545016,0,71,52,46,18,6,5,10,2
2020-08-28,38.845167602004004,25.739067892076246,0,113,85,76,29,10,8,15,4
2020-08-29,37.95036962302423,22.734720545609655,0,101,70,65,25,9,7,14,3
2020-08-30,39.38386524648699,7.635034434911557,1,41,31,22,9,3,3,5,1
2020-08-31,37.79986659422824,25.971346547601723,0,95,67,62,22,8,6,12,3
2020-09-01,37.91307136097159,21.775324513322744,0,65,49,43,19,6,4,10,2
2020-09-02,36.37400125629356,22.42560415010749,0,70,54,49,18,6,5,9,2
2020-09-03,37.71307419521008,14.074571010096792,0,88,68,60,23,7,6,12,3
2020-09-04,35.64092013658049,26.981988903925167,0,82,65,52,20,6,6,11,3
2020-09-05,36.377925814340436,23.13429000587144,0,84,63,54,22,7,6,12,3
2020-09-06,38.61691320693144,7.814761663229861,0,78,57,51,18,6,5,10,3
2020-09-07,38.53464057232124,15.194450860154067,0,69,52,45,18,6,4,10,2
2020-09-08,38.064343689690396,27.159509049003542,0,80,65,57,22,8,6,11,3
2020-09-09,36.55969213219087,6.179917542434475,0,67,51,48,17,6,4,9,2
2020-09-10,37.36450875234398,29.03541549105124,0,93,66,60,23,8,6,12,3
2020-09-11,37.29197300177431,21.97906420798907,0,95,79,67,26,9,7,14,3
2020-09-12,36.01840444756707,20.784399441084418,0,104,75,67,25,9,7,13,3
2020-09-13,38.559234402838925,11.763981412199785,0,59,43,41,14,5,4,7,2
2020-09-14,37.81017455944544,11.219794718479427,0,94,70,64,22,7,6,12,3
2020-09-15,36.5867699209405,28.551455487214888,0,86,65,54,22,7,6,12,3
2020-09-16,36.707524481129866,12.45681135585307,0,81,66,61,21,8,6,11,3
2020-09-17,36.75994638003841,24.387632417974984,0,71,51,47,17,6,5,9,2
